VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202214,"2021-07-08 16:11:09","2021-07-08 16:11:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-08 16:11:18",Update
202174,"2021-07-08 16:10:43","2021-07-08 16:10:45",200,"{""data_failed"":[],""message"":""Success""}","2021-07-08 16:10:50",Update
VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202214,"2021-07-09 09:42:50","2021-07-09 09:42:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 09:43:11",Update
202174,"2021-07-09 09:42:52","2021-07-09 09:42:55",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 09:43:11",Update
202393,"2021-07-09 09:42:17","2021-07-09 09:42:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 09:42:32",Update
VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202214,"2021-07-09 12:47:11","2021-07-09 12:47:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 12:47:32",Update
202174,"2021-07-09 12:47:22","2021-07-09 12:47:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 12:47:41",Update
202393,"2021-07-09 12:47:18","2021-07-09 12:47:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 12:47:32",Update
VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202214,"2021-07-09 16:25:11","2021-07-09 16:25:14",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 16:25:21",Update
202174,"2021-07-09 16:25:13","2021-07-09 16:25:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 16:25:23",Update
202393,"2021-07-09 16:25:50","2021-07-09 16:25:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 16:26:03",Update
202460,"2021-07-09 16:25:56","2021-07-09 16:25:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 16:26:04",Update
VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202214,"2021-07-09 16:25:11","2021-07-09 16:25:14",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 16:25:21",Update
202174,"2021-07-09 16:25:13","2021-07-09 16:25:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 16:25:23",Update
202393,"2021-07-09 16:25:50","2021-07-09 16:25:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 16:26:03",Update
202460,"2021-07-09 16:25:56","2021-07-09 16:25:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 16:26:04",Update
